Trace File,SRRIP IPC Speedup,SRRIP_max IPC Speedup,SRRIP_min IPC Speedup
429.mcf-184B.champsimtrace.xz,1.047838740,1.047658476,1.046812151
605.mcf_s-994B.champsimtrace.xz,0.991902932,0.991739538,0.991806106
429.mcf-217B.champsimtrace.xz,0.983904380,0.980719860,0.983188915
429.mcf-192B.champsimtrace.xz,1.056807430,1.056922483,1.055301144
605.mcf_s-665B.champsimtrace.xz,1.024914958,1.024814663,1.023732313
605.mcf_s-782B.champsimtrace.xz,1.107085019,1.106949468,1.106214641
605.mcf_s-1644B.champsimtrace.xz,1.005439207,1.005951545,1.004674209
450.soplex-92B.champsimtrace.xz,1.073414256,1.073103627,1.073291370
450.soplex-247B.champsimtrace.xz,1.052697790,1.052783903,1.052765183
623.xalancbmk_s-700B.champsimtrace.xz,1.003934046,1.004807570,1.004332551
483.xalancbmk-736B.champsimtrace.xz,0.997778629,0.997878038,0.997317173
483.xalancbmk-716B.champsimtrace.xz,0.996161228,0.996131547,0.996089993
